#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
719,ONYC,Fashion Tech,$378K,Seed,Recur Club,February 2026,Tracxn,https://tracxn.com/d/companies/onyc/__47_052tT45k4NnEx_4SS4-z9OdXcr4odlRNooLaBdtE/funding-and-investors,Seed,
720,Trisu,Fashion Tech,$115K,Angel,Ankur Mittal,February 2026,LinkedIn (Wizzy AI),https://www.linkedin.com/posts/wizzy-ai_trisu-raises-105-crore-for-525-equity-activity-7424690651323281408-CJqR,Angel,
721,Varaha,Climate Tech,$20M,Series B,WestBridge Capital,February 2026,Entrackr,https://entrackr.com/news/climate-tech-startup-varaha-raises-20-mn-in-series-b-led-by-westbridge-capital-11074654,Series B,[CONFIRMED] $20M tranche of a larger $45M Series B.
722,JS Auto Cast Foundry,Manufacturing,$32.8M,PE,Premji Invest,February 2026,Unverified — no corroboration found,,Unverified,
723,Dreamfly Innovations,Energy Tech,$327K,Venture Debt,SIDBI,January 2026,Entrackr,https://entrackr.com/snippets/dreamfly-innovations-raises-rs-3-cr-debt-from-sidbi-11066996,Venture Debt,
724,63SATS,Business/IT Services,$26.7M,Series B,Aarii Ventures,January 2026,YourStory,https://yourstory.com/2026/02/63sats-cybertech-raises-rs-245-cr-to-build-cybersecurity-for-the-ai-era,Series B,[DISCREPANCY] Listed as Business/IT Services; actually cybersecurity.
725,REGRIP,Auto/Auto Retail,$545K,Conventional Debt,"SiriusOne, Red Bricks Capital",January 2026,Inc42,https://inc42.com/buzz/refurbished-tyre-startup-regrip-nets-funding-from-siriusone/,Debt tranche (part of larger raise),"CORRECTED — investors are named equity leads, not undisclosed. This debt tranche is part of a larger ₹20.25cr equity+debt raise."
726,REGRIP,Auto/Auto Retail,$1.66M,Seed,Auxano,January 2026,Unverified — no corroboration found,,Unverified,
727,Shesha Ayurveda,Retail/Beauty Tech,$218K,Angel,Aman Gupta,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-shesha-ayurveda-secures-funding-shark-tank-india-season-5,Angel (Shark Tank),
728,Avni Wellness,Retail/Beauty Tech,$84.5K,Angel,Arokiaswamy Velumani,January 2026,D2C Insider Pulse,https://pulse.d2cinsider.com/avni-wellness-raises-77-5-lakh-on-bharat-ke-super-founders-strengthening-indias-sustainable-menstrual-d2c-movement/,Angel (BKSF),
729,JJG Machining Group,Industrial Manufacturing,$30M,Series B,Norwest,January 2026,Entrackr,https://entrackr.com/news/aerospace-components-manufacturer-jjg-aero-raises-30-mn-led-by-norwest-11066196,Series B,"[DISCREPANCY] Company is ""JJG Aero"" (aerospace), listed as Industrial Manufacturing."
730,Maraal Aerospace,Aerospace Tech,$218K,Seed,HPCL,January 2026,Business Standard,https://www.business-standard.com/markets/capital-market-news/hindustan-petroleum-to-invest-rs-2-cr-in-startup-maraal-aerospace-126013001204_1.html,Strategic equity,
731,Sanyark,Space Tech,Undisclosed,Seed,AUM Ventures,January 2026,Inc42,https://inc42.com/company/sanyark-space/,Seed,
732,Bonkers Corner,Consumer/Apparel,$163K,Angel,Namita Thapar,January 2026,AngelOne,https://www.angelone.in/news/unlisted-companies/bonkers-corner-raises-95-crore-in-series-a-at-430-crore-valuation-after-shark-tank-india-feature,Angel (Shark Tank),
733,Vimag Labs,Energy Tech/EVs,$5M,Series A,Accel,January 2026,Entrackr,https://entrackr.com/snippets/deep-tech-startup-vimag-labs-raises-5-mn-led-by-accel-11039322,Series A,
734,CAVA Athleisure,Consumer/Fashion Tech,$4.35M,Series A,Sharrp Ventures,January 2026,Entrackr,https://entrackr.com/snippets/cava-athleisure-secures-rs-40-cr-in-series-a-round-led-by-sharrp-ventures-11055826,Series A,
735,Earthsync,Environment Tech,$1M,Seed,Theia Ventures,January 2026,Entrackr,https://entrackr.com/snippets/earthsync-raises-1-mn-in-pre-seed-round-led-by-theia-ventures-11038751,Pre-Seed,[DISCREPANCY] Listed as Seed; press reports Pre-Seed.
736,OneARVO Ventures,High Tech/Computer Vision,$134K,Seed,Inflection Point Ventures,January 2026,Entrackr,https://entrackr.com/snippets/deep-tech-startup-onearvo-raises-pre-seed-round-led-by-ipv-11039524,Pre-seed,
737,Antinorm,Beauty & Personal Care,$112K,Angel,Anupam Mittal,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-antinorm-raises-investment-shark-tank-india-data-driven-haircare-solutions,Angel (Shark Tank),
738,Kesari Awayddings,Events Tech,$218K,Angel,Aman Gupta,January 2026,Business Today,https://www.businesstoday.in/latest/trends/story/mera-business-main-naam-nahi-aaega-aman-gupta-sets-condition-before-rs-2-crore-deal-on-shark-tank-india-513574-2026-01-29,"Angel (single ₹2cr deal, bad split)","CORRECTED — real deal is a single ₹2cr equity investment from Aman Gupta (5%), not a debt+equity split. See #739."
739,Kesari Awayddings,Events Tech,$109K,Angel,Aman Gupta,January 2026,EVENTFAQS,https://in.eventfaqs.com/2026/02/02/awayddings-raises-2-crore-on-shark-tank-india-with-focus-on-affordable-destination-weddings/,"Angel (same deal as #738, bad split)","DUPLICATE OF #738 (corrected) — same single ₹2cr Aman Gupta equity deal, wrongly split into two rows. Exclude from totals."
740,ScrapUncle,Environment/Recycling,$2.4M,Seed,Orios Venture Partners,January 2026,Entrackr,https://entrackr.com/snippets/clean-tech-startup-scrapuncle-raises-rs-22-cr-in-pre-series-a-round-11036941,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
741,The Stack,Life Sciences/Nutraceuticals,$600K,Seed,OTP Ventures,January 2026,Entrepreneur India,https://india.entrepreneur.com/news-and-trends/the-stack-raises-pre-seed-capital-to-expand-science-backed/502238,Pre-seed,
742,Steadfast Consultants,Financial Services,Undisclosed,Seed,Raju Menon,January 2026,Unverified — no corroboration found,,Unverified,
743,Easy Home Finance,FinTech/Alternative Lending,$30M,Series C,Investcorp,January 2026,Entrackr,https://entrackr.com/news/easy-home-finance-raises-30-mn-in-series-c-led-by-investcorp-11039108,Series C,
744,D-Propulse,Aerospace Tech,$2.73M,Seed,Indian Angel Network,January 2026,Inc42,https://inc42.com/buzz/d-propulse-raises-inr-25-cr-to-build-aerospace-propulsion-system/,Seed,
745,Gully Labs,Consumer/Fashion Tech,$109K,Angel,Aman Gupta,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-gully-labs-seals-rs-1-cr-deal-aman-gupta-shark-tank-india-season-5,Angel (Shark Tank),
746,RCX Light,High Tech/LED & Outdoor Advertising,$10.9K,Angel,Aman Gupta,January 2026,CEO Vine,https://www.ceovine.com/bihar-startup-rcx-light-secures-deal-on-shark-tank-india,Equity tranche (Shark Tank),"CORRECTED sector — company does LED digital-façade/outdoor advertising, not event management."
747,RCX Light,High Tech/LED & Outdoor Advertising,$43.6K,Conventional Debt,Aman Gupta,January 2026,Indian Masterminds,https://indianmasterminds.com/news/bihar-startup-rcx-lighting-secures-investment-shark-tank-181285/,Debt tranche (Shark Tank),"CORRECTED sector — company does LED digital-façade/outdoor advertising, not event management."
748,4baseCare,Life Sciences/Oncology,$9.82M,Series B,Yali Capital,January 2026,Entrackr,https://entrackr.com/news/oncology-startup-4basecare-raises-rs-90-cr-led-by-ashish-kacholia-and-lashit-sanghvi-11033252,Series B,
749,Spotdraft Legal,Enterprise/RPA,$8M,Series B,Qualcomm Ventures,January 2026,Entrackr,https://entrackr.com/news/legal-tech-startup-spotdraft-raises-8-mn-in-series-b-extension-11032844,Series B Extension,
750,Awsum,Food & Beverage,$109K,Angel,Namita Thapar,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-better-you-bakery-brand-awsum-secures-rs-1-crore-deal-shark-tank-india,Angel (Shark Tank),
751,MeMeraki,Retail/Home Improvements,Undisclosed,Seed,Next Bharat Ventures,January 2026,YourStory,https://yourstory.com/2026/01/memeraki-raises-funding-from-suzuki-backed-next-bharat-ventures,Seed,
752,Entellus,High Tech/Advanced Materials,$5.5M,Series A,ZeroW,January 2026,Entrackr,https://entrackr.com/snippets/entellus-industries-raises-rs-50-cr-from-zerow-11034298,Series A,
753,Phitku,Beauty & Personal Care,$205K,Angel,Aman Gupta,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-phitku-bags-rs-18-cr-shark-tank-india-season-5-rs-180-cr-valuation,Angel (Shark Tank),
754,Skitii,HealthTech/Disease Management,$436K,Angel,Undisclosed (US-based angel),January 2026,Digital Health News,https://www.digitalhealthnews.com/mumbai-healthtech-startup-skitii-raises-funding-to-advance-ai-driven-cancer-care,Angel,"CORRECTED — company is a Mumbai healthtech doing AI music-therapy for cancer care, not speech/voice recognition. Investor is an undisclosed US-based angel, not IIT Mandi Catalyst (Digital Health News)."
755,Gati Drives,Industrial Automation,Undisclosed,Seed,Campus Fund,January 2026,YourStory,https://yourstory.com/2026/08/gati-drives-rare-earth-free-motors,Pre-Seed,[DISCREPANCY] Listed as Seed; press reports pre-seed from Campus Fund.
756,Juspay,Payments,Undisclosed,Series D,WestBridge Capital,January 2026,Entrackr,https://entrackr.com/news/juspay-raises-50-mn-from-westbridge-capital-at-12-bn-valuation-11023645,Series D,
757,IndiGrid,Transmission Operators,$163M,Post IPO,KKR,January 2026,Unverified — no corroboration found,,Unverified,
758,Babai Tiffins,Food/Food Service,$273K,Venture Debt,Recur Club,January 2026,Entrepreneur India,https://entrepreneur.com/en-in/news-and-trends/babai-tiffins-secures-inr-155-cr-funding-to-grow-regional/502354,Venture Debt,
759,Babai Tiffins,Food/Food Service,$872K,Seed,Warmup Ventures,January 2026,Indian Retailer,https://www.indianretailer.com/news/funding-alert-babai-tiffins-attracts-rs-155-cr-investment-build-scalable-andhra-qsr-chain,Equity (BKSF),
760,Chargeup,Energy Storage,$2.4M,Seed,Indian Angel Network,January 2026,Inc42,https://inc42.com/company/chargeup/,Seed,
761,Transvolt,Road Transport Tech,$15M,Series B,Finnfund,January 2026,Unverified — no corroboration found,,Unverified,
762,Dhun Wellness,Fitness/Wellness,$4M,Series A,SRF,January 2026,Not yet checked,,,
763,Indel Money,Consumer Loans,$11M,Conventional Debt,Kotak Alternate Asset Managers,January 2026,Unverified — no corroboration found,,Unverified,
764,House Of Diagnostics,Clinical Labs,Undisclosed,Seed,360 One,January 2026,Unverified — no corroboration found,,Unverified,
765,Zerocircle,Packaging Tech,$546K,Seed,3one4 Capital,January 2026,Entrackr,https://entrackr.com/snippets/materials-science-company-zerocircle-raises-pre-series-a-round-from-3one4-capital-rainmatter-and-others-11021693,Pre-Series A,
766,PropertyPistol Realty,Real Estate IT,$2.73M,Series A,Ashish Kacholia,January 2026,Inc42,https://inc42.com/buzz/proptech-startup-propertypistol-bags-2-7-mn-to-expand-presence-in-uae/,Pre-Series B,[DISCREPANCY] Listed as Series A; press reports Pre-Series B.
767,Qure.ai,Clinical Labs IT,Undisclosed,Grant,Gates Foundation,January 2026,Unverified — no corroboration found,,Unverified,
768,Escape Plan,Fashion Tech,$25M,Series A,Jungle Ventures,January 2026,Entrackr,https://entrackr.com/news/travel-products-platform-escape-plan-raises-25-mn-led-by-jungle-venture-11019825,Series A,[DISCREPANCY] Listed as Fashion Tech; actually travel products/accessories.
769,Optimist,Energy Efficiency,$12M,Seed,Accel,January 2026,Entrackr,https://entrackr.com/news/optimist-raises-12-mn-in-seed-round-led-by-accel-and-arkam-ventures-11020870,Seed,
770,Brisil Technologies,Advanced Materials,$328K,Seed,Momentum Capital,January 2026,Entrackr,https://entrackr.com/snippets/climate-tech-startup-brisil-technologies-raises-pre-seed-round-led-by-momentum-capital-11021031,Pre-seed,
771,MEINE Electric,Energy Storage,$750K,Seed,Antler,January 2026,Entrackr,https://entrackr.com/snippets/deeptech-startup-meine-electric-raises-750k-in-pre-seed-round-11021373,Pre-seed,
772,Dalvoy,Test Preparation,$680K,Seed,8i Ventures,January 2026,PitchBook,https://pitchbook.com/profiles/company/1243321-84,Seed (thin corroboration),
773,Cinefai,Video Creation,$54.9K,Conventional Debt,Ritesh Agarwal,January 2026,Indian Startup News,https://indianstartupnews.com/news/cinefai-studios-impresses-shark-tank-india-judges-with-ai-made-superhero-films-of-their-avatars-11031022,Debt tranche (Shark Tank),
774,Cinefai,Video Creation,$54.9K,Angel,Ritesh Agarwal,January 2026,Indian Startup News,https://indianstartupnews.com/news/cinefai-studios-impresses-shark-tank-india-judges-with-ai-made-superhero-films-of-their-avatars-11031022,Equity tranche (Shark Tank),
775,Caredale,Home Furnishing,$165K,Seed,ajvc,January 2026,Entrackr,https://entrackr.com/snippets/water-wellness-startup-care-dale-raises-pre-seed-funding-led-by-ajvc-11017614,Pre-seed,
776,Arthum,Alternative Lending,$1.09M,Seed,Caret Capital,January 2026,Entrackr,https://entrackr.com/snippets/arthum-raises-rs-10-cr-in-seed-round-led-by-caret-capital-11018048,Seed,
777,GreenCell Mobility,Energy Tech/EVs,Undisclosed,Conventional Debt,IFC,January 2026,Unverified — no corroboration found,,Unverified,
778,GreenCell Mobility,Energy Tech/EVs,$89M,Series C,IFC,January 2026,YourStory,https://yourstory.com/2026/01/greencell-mobility-mezzanine-funding-to-expand-electric-bus-fleet,Series C / Mezzanine,
779,StepOut,Artificial Intelligence,$1.5M,Seed,Rainmatter,January 2026,Entrackr,https://entrackr.com/snippets/sports-tech-startup-stepout-raises-15-mn-led-by-rainmatter-11017911,Pre-Series A,"[DISCREPANCY] Listed as Seed/AI; actually sports-tech, Pre-Series A."
780,Enerzolve,AI Infrastructure,$5.1M,Seed,Jungle Ventures,January 2026,Entrackr,https://entrackr.com/snippets/enerzolve-raises-51-mn-in-seed-round-led-by-jungle-ventures-and-kae-capital-11018091,Seed,"[CONFIRMED] Clean-tech, not AI."
781,Sensesemi,Embedded Systems,$2.7M,Seed,Piper Serica,January 2026,Entrackr,https://entrackr.com/snippets/semiconductor-startup-sensesemi-raises-rs-25-cr-led-by-piper-serica-11018670,Seed,
782,Aerem,Renewable Energy,$15M,Series A,SMBC Asia Rising Fund,January 2026,Entrackr,https://entrackr.com/news/solar-platform-aerem-solutions-raises-15-mn-in-pre-series-b-11018368,Pre-Series B,[DISCREPANCY] Listed as Series A; press reports Pre-Series B.
783,Grest,Consumer Electronics,$1.76M,Seed,Equentis Wealth Advisory,January 2026,Entrackr,https://entrackr.com/snippets/full-stack-re-commerce-company-grest-raises-16-cr-led-by-equentis-wealth-11018721,Growth Round,[PARTIAL] Rs 16cr raised but specific $1.76M seed tranche not independently confirmed.
784,Bolna,Customer Service Software,$6.3M,Seed,General Catalyst,January 2026,Not yet checked,,,
785,Hala Mobility,Auto E-Commerce,$1.35M,Series A,Recur Club,January 2026,Not yet checked,,,
786,Hala Mobility,Auto E-Commerce,Undisclosed,Conventional Debt,Recur Club,January 2026,Not yet checked,,,
787,Intellend Technologies Advisors,Alternative Lending,$1.2M,Seed,Incubate Fund India,January 2026,Not yet checked,,,
788,PolyCycl,Waste Management,$2.86M,Series A,Rainmatter,January 2026,Not yet checked,,,
789,Surya Hospitals,Hospital Chains,Undisclosed,PE,Novo Holdings,January 2026,Not yet checked,,,
790,Wonder Home Finance,Consumer Loans,$55M,PE,Growtheum Capital Partners,January 2026,Not yet checked,,,
791,Super Living,Internet First Media,$2M,Seed,Kae Capital,January 2026,Not yet checked,,,
792,Raana semiconductors,Semiconductor Manufacturing,$3M,Seed,Artha Venture Fund,January 2026,Not yet checked,,,
793,Fire AI,Natural Language Processing,$682K,Seed,SucSEED Indovation,January 2026,Entrackr,https://entrackr.com/snippets/fireai-raises-rs-25-cr-from-sucseed-indovation-fund-12184501,"Seed (caveat: URL is Jul round, not Jan)",
794,Whizzo,Advanced Materials,$15M,Series A,Fundamentum,January 2026,Not yet checked,,,
795,Ringg AI,Customer Service Software,$5.5M,Series A,Arkam Ventures,January 2026,Not yet checked,,,
796,Pinky Promise,Healthcare Booking,$1M,Seed,Rebalance,January 2026,Not yet checked,,,
797,WanderOn,Online Travel,$5.94M,Series A,DSG Consumer Partners,January 2026,Not yet checked,,,
798,Troovy,Online Grocery,$5M,Series A,Fireside Ventures,January 2026,Not yet checked,,,
799,For Real,B2B E-Commerce,$352K,Seed,Titan Capital,January 2026,Entrackr,https://entrackr.com/snippets/factory-outlet-marketplace-for-real-raises-pre-seed-round-from-titan-capital-11012694,Pre-seed,
800,Culture,Social Platforms,$220K,Seed,Acuvest Infra,January 2026,Indian Startup News,https://indianstartupnews.com/funding/human-first-social-networking-platform-culture-raises-rs-2-crore-from-acuvest-infra-11012059,Seed,
801,33&Brew,Food/Food Service,$2.2M,Series A,Optimistic Capital,January 2026,Not yet checked,,,
802,Mufin Finance,Alternative Lending,$12M,Conventional Debt,Finnfund,January 2026,Not yet checked,,,
803,insideFPV,Drones,$660K,Seed,Gujarat Venture Finance,January 2026,Indian Startup News,https://indianstartupnews.com/news/shark-tank-india-featured-defense-dronetech-startup-insidefpv-raises-rs-6-crore-in-funding-11012869,Pre-Series A,
804,AssetPlus,Investment Tech,$19.3M,Series B,Nexus Venture Partners,January 2026,Not yet checked,,,
805,Namdev Finvest,Consumer/SME Loans,$37M,Conventional Debt,FMO,January 2026,Not yet checked,,,
806,RidEV,Logistics Tech,$551K,Conventional Debt,Kunal Bahl,January 2026,StartupArticle,https://startuparticle.com/shark-tank-india/2026/01/ridev-secures-inr-1-cr-deal-on-shark-tank-india-season-5/,Debt tranche (Shark Tank),
807,RidEV,Logistics Tech,$110K,Angel,Kunal Bahl,January 2026,StartupArticle,https://startuparticle.com/shark-tank-india/2026/01/ridev-secures-inr-1-cr-deal-on-shark-tank-india-season-5/,Angel/Equity tranche (Shark Tank),
808,Aloe Ecell,Energy Storage,$110K,Conventional Debt,Recur Club,January 2026,YourStory,https://yourstory.com/2026/01/eco-battery-startup-aloe-ecell-raises-rs-35-cr,Debt tranche,
809,Aloe Ecell,Energy Storage,$276K,Seed,A Velumani,January 2026,YourStory,https://yourstory.com/2026/01/eco-battery-startup-aloe-ecell-raises-rs-35-cr,Equity tranche,
810,Stroom,Food/Beverage,$110K,Angel,Vineeta Singh,January 2026,Ascendants,https://ascendants.in/the-ascendants/stroom-protein-snacks-shark-tank-india-founders-revenue/,Angel (Shark Tank),
811,Gully Labs,Fashion Tech,$3M,Series A,Saama Capital,January 2026,Not yet checked,,,
812,Veera,Internet Browsers,$4M,Seed,Titan,January 2026,Not yet checked,,,
813,Japam,Religion Tech,$166K,Angel,Namita Thapar,January 2026,DNP India,https://www.dnpindia.in/entertainment/shark-tank-india-5-anti-superstition-namita-thapar-invests-in-spiritual-wearable-brand-japam-pitcher-calls-her-offer-unfair-what-are-you/584137/,Angel (Shark Tank),
814,Truth And Hair,Beauty Tech,$277K,Angel,Varun Alagh,January 2026,StartupTalky,https://startuptalky.com/news/truth-hair-secures-inr-2-5-crore-investment-from-varun-alagh-shark-tank-india/,"Angel (Shark Tank, Jan round)",
815,RenewCred,Air Pollution Management,Undisclosed,Grant,ACT Grants,January 2026,Not yet checked,,,
816,RenewCred,Air Pollution Management,$471K,Seed,Campus Angels Network,January 2026,Mercom India,https://www.mercomindia.com/carbon-credits-platform-renewcred-secures-42-5-million-in-seed-funding,Seed,
817,Emversity,Higher Education,$30M,Series A,Premji Invest,January 2026,Not yet checked,,,
818,MYPB,Online Grocery,$77.6K,Angel,Varun Alagh,January 2026,Indian Retailer,https://www.indianretailer.com/news/peanut-butter-powder-brand-mypb-bags-rs-70-lakh-investment-shark-tank-india,Angel (Shark Tank),
819,xStep,Neurology,$111K,Angel,Kunal Bahl,January 2026,Viestories,https://viestories.com/shark-tank/xstep-on-shark-tank-india-non-invasive-neuromodulation-10999697,Angel (Shark Tank),
820,Aule Space,Space Tech,$2M,Seed,pi Ventures,January 2026,Not yet checked,,,
821,Truva,Residential Real Estate,$1.7M,Venture Debt,Stride Ventures,January 2026,Not yet checked,,,
822,Pee Safe,Beauty Tech,Undisclosed,Series C,Orbimed,January 2026,Not yet checked,,,
823,Xoxoday,HRTech,Undisclosed,Series C,Apis Partners,January 2026,Not yet checked,,,
824,Oriana Power,Solar Energy,$4.75M,Post IPO,Dalmia Cement Bharat,January 2026,Not yet checked,,,
825,HandyPanda,Construction Tech,$222K,Seed,ajvc,January 2026,Entrackr,https://entrackr.com/snippets/construction-tech-startup-handypanda-raises-rs-2-cr-led-by-ajvc-10996918,Pre-seed,
826,Wint Wealth,Investment Tech,$28M,Series B,Vertex Ventures,January 2026,Not yet checked,,,
827,Corel Lifecare,Aquaculture Tech,$133K,Angel,Anupam Mittal,January 2026,Indian Startup News,https://indianstartupnews.com/news/this-is-very-strong-foundermarket-fit-sharks-back-corel-lifecares-aquaculture-pitch-on-shark-tank-india-11030887,Angel (Shark Tank),
828,GrowthPal,Investment Banks,$2.6M,Series A,Ideaspring Capital,January 2026,Not yet checked,,,
829,Dazzl,Local Services,$3.2M,Seed,Stellaris Venture Partners,January 2026,Not yet checked,,,
830,Hexalog,Logistics Tech,$4M,Seed,Enrission India Capital,January 2026,Not yet checked,,,
831,Misochain,Aircraft Components,$2M,Seed,Capital-A,January 2026,Not yet checked,,,
832,Atomgrid,Diversified Chemicals,Undisclosed,Conventional Debt,Trifecta Capital,January 2026,Not yet checked,,,
833,Drickle,Food/Beverage,$660K,Seed,"Multiple angels via Ideabaaz TV show, incl. Shaili Chopra",January 2026,Entrackr,https://entrackr.com/snippets/coffee-first-beverage-brand-drickle-raises-rs-6-cr-in-seed-round-10995189,Seed (dataset amount is one investor's slice only),CORRECTED — $55.4K was only Shaili Chopra's individual slice of the round; full raise is ~₹6cr (~$660K).
834,GreenTech,Renewable Energy,$3.33M,Seed,Transition VC,January 2026,Not yet checked,,,
835,GreenTech,Renewable Energy,Undisclosed,Conventional Debt,Transition VC,January 2026,Not yet checked,,,
836,Sukino,Rehabilitation & Long-Term Care,$31M,Series B,Bessemer Venture Partners,January 2026,Not yet checked,,,
837,Liquidnitro Games,Gaming,$19.1M,Series A,Nexus Venture Partners,January 2026,Not yet checked,,,
838,CloudSEK,Cybersecurity,Undisclosed,Series B,Connecticut Innovations,January 2026,Not yet checked,,,
839,Carrum,Road Transport Tech,Undisclosed,Series A,Uber,January 2026,Not yet checked,,,
840,Nootie,Pet Tech,$111K,Angel,Namita Thapar,January 2026,Indian Retailer,https://www.indianretailer.com/news/pet-care-brand-nootie-bags-rs-1-cr-shark-tank-india-season-5,Angel (Shark Tank),
841,LearnTube,Continued Learning,Undisclosed,Seed,Indian Angel Network,January 2026,Not yet checked,,,
842,Edgistify,Logistics Tech,$1.4M,Seed,NB Ventures,January 2026,Entrackr,https://entrackr.com/snippets/edgistify-raises-14-mn-from-nb-ventures-and-rajesh-ranavat-10992138,Seed,
843,ProjectStudio,Home Improvement Tech,Undisclosed,Seed,Modulor Capital,January 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Company and investor exist but no specific announcement found for January 2026
844,TravClan,Online Travel,Undisclosed,Seed,August One,January 2026,Unverified — no corroboration found,,Unverified,
845,PumPumPum,Auto Retail,$2M,Seed,Lighthouse Canton,January 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No corroboration found for Lighthouse Canton investment in January 2026
846,ClimaCrew,Aquaculture,$1.67M,Angel,Undisclosed,January 2026,YourStory,https://yourstory.com/2026/01/how-this-deeptech-startup-is-driving-seaweed-cultivation-along-the-western-coast-of-india,Angel,[DISCREPANCY] Amount reported as Rs 15 crore (~$1.79M) not $1.67M
847,Fabpad,Beauty & Personal Care,Undisclosed,Seed,Inflection Point Ventures,January 2026,Not yet checked,,,
848,Varthana,Education Finance,$6M,Conventional Debt,WaterEquity,January 2026,YourStory,https://yourstory.com/2026/01/nbfc-varthana-bags-6m-loan-from-waterequity-for-school-sanitation-projects,Conventional Debt,
849,&Done,Beauty & Personal Care,$3M,Series A,RTP Global,January 2026,Entrackr,https://entrackr.com/snippets/haircare-brand-done-raises-3-mn-in-series-a-led-by-rtp-global-10980040,Series A,
850,MiniPIX,OTT/Media,$267K,Seed,PedalStart,January 2026,Indian Startup News,https://indianstartupnews.com/funding/bharat-focused-micro-drama-platform-minipix-raises-rs-24-crore-in-seed-funding-from-pedalstart-10982212,Pre-seed,
851,Antinorm,Beauty & Personal Care,$3.11M,Seed,Fireside Ventures,January 2026,Inc42,https://inc42.com/buzz/d2c-brand-antinorm-bags-inr-28-cr-to-expand-product-portfolio/,Seed,
852,Aivar Innovations,AI & Cloud Solutions,$4.6M,Seed,Sorin,January 2026,Entrackr,https://entrackr.com/snippets/ai-services-startup-aivar-raises-46-mn-from-sorin-investments-and-bessemer-10980240,Seed,
853,Be Clinical,Beauty Tech,$665K,Seed,V3 Ventures,January 2026,Entrackr,https://entrackr.com/snippets/skincare-brand-be-clinical-raises-seed-round-led-by-v3-ventures-10978768,Seed,
854,Capture A Trip,Travel & Tourism,$83.2K,Angel,Kunal Bahl,January 2026,Indian Startup News,https://indianstartupnews.com/funding/experiential-travel-startup-capture-a-trip-secures-rs-75-lakh-investment-from-shark-tank-india-judges-10981287,Angel (Shark Tank),
855,C-Zentrix,Customer Service Software,Undisclosed,Seed,Aroa Venture Partners,January 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/aroa-invests-in-c-zentrix-an-ai-powered-ccaas-provider-126010700930_1.html,,[PARTIAL] Investment confirmed but amount and specific round details not available
856,Flent,Real Estate Tech,$444K,Conventional Debt,Incubate Fund Asia,January 2026,TechStory,https://techstory.in/flent-raises-rs-21-crore-in-pre-series-a-round/,Pre-Series A (dataset amount is only debt tranche),"CORRECTED lead investor name (was ""Incubate Fund India""). This row is the ₹4cr debt tranche of a ₹21cr (~$2.5M) Pre-Series A — see row #857 for the equity portion."
857,Flent,Real Estate Tech,$1.89M,Seed,Incubate Fund India,January 2026,YourStory,https://yourstory.com/2026/01/proptech-startup-flent-raises-rs-21-cr-to-expand-premium-housing-rental-platform,Pre-Series A,[DISCREPANCY] Amount reported as ~$2.3M (Rs 21 Cr) not $1.89M; investor is Incubate Fund Asia not Incubate Fund India
858,Arrowhead,AI Voice Bots,$3M,Seed,Stellaris Venture Partners,January 2026,Entrackr,https://entrackr.com/snippets/voice-ai-startup-arrowhead-raises-3-mn-in-seed-round-led-by-stellaris-10977766,Seed,
859,RoadGrid,EV Charging Tech,$1.33M,Seed,Venture Catalysts,January 2026,Entrackr,https://entrackr.com/snippets/ev-charging-startup-roadgrid-raises-rs-12-cr-in-pre-series-a-round-10978135,Pre-Series A,
860,SkinInspired,Skincare,$2.9M,Series A,Spring,January 2026,Entrackr,https://entrackr.com/snippets/skininspired-raises-29-mn-led-by-spring-marketing-capital-10976401,Series A,
861,OSSO,Healthcare Clinics,$443K,Seed,Haldirams Family Office,January 2026,Inc42,https://inc42.com/buzz/exclusive-ortho-treatment-startup-osso-raises-inr-4-cr-from-haldiram-family-office-others/,Seed,
862,GoOAT,Food & Nutrition,$177K,Seed,D2C Insider,January 2026,Entrackr,https://entrackr.com/snippets/gooat-raises-pre-seed-round-led-by-d2c-insider-super-angels-8864524,Pre-seed (likely a 2025 raise),"FLAGGED — likely a 2025 raise (Entrackr snippet ID is consistent with 2025 sequencing), misdated as January 2026. Company has since rebranded to ""GOAT Life."""
863,FreshToHome,Online Meat & Seafood,$8.5M,Conventional Debt,Trifecta Capital,January 2026,Entrackr,https://entrackr.com/snippets/exclusive-freshtohome-to-raise-rs-75-cr-in-debt-funding-10965347,Conventional Debt,
864,Arya.ag,Agritech,$56.2M,Series D,GEF Capital Partners,January 2026,Entrackr,https://entrackr.com/news/agritech-firm-aryaag-raises-over-80-mn-in-series-d-from-gef-capital-10965656,Series D,[DISCREPANCY] Amount reported as ~$80.3M not $56.2M
865,Knight FinTech,Banking Technology,$23.6M,Series A,Accel,January 2026,Entrackr,https://entrackr.com/news/knight-fintech-raises-236-mn-led-by-accel-10965193,Series A,
